customer_id,customer_name,segment,country,city,state,postal_code,region
DP-13000,Darren Powers,Replacement,United States,Houston,Texas,77095,Central
PO-19195,Phillina Ober,Other,United States,Naperville,Illinois,60540,Central
PO-19195,Phillina Ober,Other,United States,Naperville,Illinois,60540,Central
PO-19195,Phillina Ober,Other,United States,Naperville,Illinois,60540,Central
MB-18085,Mick Brown,Replacement,United States,Philadelphia,Pennsylvania,19143,East
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
JO-15145,Jack O'Briant,Servicing,United States,Athens,Georgia,30605,South
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
LS-17230,Lycoris Saunders,Replacement,United States,Los Angeles,California,90049,West
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South
VS-21820,Vivek Sundaresam,Replacement,United States,Huntsville,Texas,77340,Central
VS-21820,Vivek Sundaresam,Replacement,United States,Huntsville,Texas,77340,Central
MS-17830,Melanie Seite,Replacement,United States,Laredo,Texas,78041,Central
MS-17830,Melanie Seite,Replacement,United States,Laredo,Texas,78041,Central
AJ-10780,Anthony Jacobs,Servicing,United States,Springfield,Virginia,22153,South
AJ-10780,Anthony Jacobs,Servicing,United States,Springfield,Virginia,22153,South
SV-20365,Seth Vernon,Replacement,United States,Dover,Delaware,19901,East
BD-11605,Brian Dahlen,Replacement,United States,San Francisco,California,94109,West
ND-18370,Natalie DeCherney,Replacement,United States,Mount Pleasant,South Carolina,29464,South
BD-11605,Brian Dahlen,Replacement,United States,San Francisco,California,94109,West
MM-17920,Michael Moore,Replacement,United States,Newark,Ohio,43055,East
CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South
CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South
CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South
MM-17920,Michael Moore,Replacement,United States,Newark,Ohio,43055,East
CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South
BD-11605,Brian Dahlen,Replacement,United States,San Francisco,California,94109,West
CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South
BS-11590,Brendan Sweed,Servicing,United States,Philadelphia,Pennsylvania,19140,East
EH-13990,Erica Hackney,Replacement,United States,Roswell,Georgia,30076,South
DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East
DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East
DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East
DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East
DW-13195,David Wiener,Servicing,United States,Springfield,Oregon,97477,West
